Time,input_1,output
74.4,0.800363206,0.5
74.5,-0.951298924,-0.5
74.6,0.998913427,0.5
74.7,-0.98764407,-0.5
74.8,0.955756057,0.5
74.9,-0.92976492,-0.5
75,0.923879533,0.5
75.1,-0.940870127,-0.5
75.2,0.972340577,0.5
75.3,-0.998008935,-0.5
75.4,0.985195623,0.5
75.5,-0.891362813,-0.5
75.6,0.673848586,0.5
75.7,-0.310480665,-0.310480665
75.8,-0.169948074,-0.169948074
75.9,0.659400926,0.5
76,-0.971631733,-0.5
76.1,0.906439038,0.5
76.2,-0.386859035,-0.386859035
76.3,-0.392269689,-0.392269689
76.4,0.953964347,0.5
76.5,-0.813151558,-0.5
76.6,-0.039071465,-0.039071465
76.7,0.886847986,0.5
76.8,-0.80575466,-0.5
76.9,-0.237689283,-0.237689283
77,0.995852701,0.5
77.1,-0.351740355,-0.351740355
77.2,-0.844597155,-0.5
77.3,0.650140556,0.5
77.4,0.705416472,0.5
77.5,-0.720853597,-0.5
77.6,-0.725172504,-0.5
77.7,0.606157767,0.5
77.8,0.886920555,0.5
77.9,-0.243848604,-0.243848604
78,-0.998736957,-0.5
78.1,-0.398272045,-0.398272045
78.2,0.673569991,0.5
78.3,0.967884035,0.5
78.4,0.289352582,0.289352582
78.5,-0.618476972,-0.5
78.6,-0.999979463,-0.5
78.7,-0.676050747,-0.5
78.8,0.029652288,0.029652288
78.9,0.673500327,0.5
79,0.982871078,0.5
79.1,0.921688562,0.5
79.2,0.606332658,0.5
79.3,0.192038968,0.192038968
79.4,-0.200818043,-0.200818043
79.5,-0.509717284,-0.5
79.6,-0.720657602,-0.5
79.7,-0.847827901,-0.5
79.8,-0.915291796,-0.5
79.9,-0.945073344,-0.5
80,-0.951056516,-0.5
80.1,-0.936560899,-0.5
80.2,-0.893897763,-0.5
80.3,-0.80547548,-0.5
80.4,-0.647439125,-0.5
80.5,-0.397868571,-0.397868571
80.6,-0.051373831,-0.051373831
80.7,0.360840126,0.360840126
80.8,0.752929713,0.5
80.9,0.985211776,0.5
81,0.90616021,0.5
81.1,0.44616345,0.44616345
81.2,-0.268597047,-0.268597047
81.3,-0.876775441,-0.5
81.4,-0.93650583,-0.5
81.5,-0.285771996,-0.285771996
81.6,0.640903175,0.5
81.7,0.985049853,0.5
81.8,0.282729876,0.282729876
81.9,-0.775277517,-0.5
82,-0.850994482,-0.5
82.1,0.277753966,0.277753966
82.2,0.997354211,0.5
82.3,0.073102426,0.073102426
82.4,-0.987806009,-0.5
82.5,-0.17579628,-0.17579628
82.6,0.990990681,0.5
82.7,0.029181253,0.029181253
82.8,-0.99039204,-0.5
82.9,0.36107451,0.36107451
83,0.788225612,0.5
83.1,-0.851637298,-0.5
83.2,-0.13231175,-0.13231175
83.3,0.939693815,0.5
83.4,-0.779329216,-0.5
83.5,-0.069843527,-0.069843527
83.6,0.825239693,0.5
83.7,-0.971861597,-0.5
83.8,0.529338932,0.5
83.9,0.153982683,0.153982683
84,-0.720309025,-0.5
84.1,0.983903133,0.5
84.2,-0.941263271,-0.5
84.3,0.692543655,0.5
84.4,-0.358289737,-0.358289737
84.5,0.030625739,0.030625739
84.6,0.240038285,0.240038285
84.7,-0.43737005,-0.43737005
84.8,0.564782657,0.5
84.9,-0.632594493,-0.5
85,0.649448048,0.5
85.1,-0.617884315,-0.5
85.2,0.533277929,0.5
85.3,-0.385844856,-0.385844856
85.4,0.166231805,0.166231805
85.5,0.12455399,0.12455399
85.6,-0.461364635,-0.461364635
85.7,0.781431177,0.5
85.8,-0.981308789,-0.5
85.9,0.939607827,0.5
86,-0.577572703,-0.5
86.1,-0.052722884,-0.052722884
86.2,0.706128672,0.5
86.3,-0.999973668,-0.5
86.4,0.649352488,0.5
86.5,0.2112395,0.2112395
86.6,-0.930284456,-0.5
86.7,0.784129076,0.5
86.8,0.205124718,0.205124718
86.9,-0.981326922,-0.5
87,0.506334807,0.5
87.1,0.692724934,0.5
87.2,-0.850730393,-0.5
87.3,-0.393425297,-0.393425297
87.4,0.949845504,0.5
87.5,0.290284677,0.290284677
87.6,-0.944816339,-0.5
87.7,-0.422108854,-0.422108854
87.8,0.825026716,0.5
87.9,0.736642641,0.5
88,-0.437115767,-0.437115767
88.1,-0.995073235,-0.5
88.2,-0.311286864,-0.311286864
88.3,0.700164458,0.5
88.4,0.972691683,0.5
