Time,input_1,output
54.2,-99.11582013,-3.477895503
54.3,95.2511726,1.381279315
54.4,-77.17933015,-2.929483254
54.5,53.51634962,0.33790874
54.6,-30.55490648,-1.763872662
54.7,11.88164244,-0.702958939
54.8,0.955029648,-0.976124259
54.9,-7.535813216,-1.18839533
55,7.845909573,-0.803852261
55.1,-1.887985005,-1.047199625
55.2,-10.33619554,-1.258404889
55.3,28.47482354,-0.288129411
55.4,-51.13110853,-2.278277713
55.5,74.95914452,0.873978613
55.6,-93.94249054,-3.348562264
55.7,99.62676652,1.490669163
55.8,-83.34540035,-3.083635009
55.9,41.09702663,0.027425666
56,19.97099805,-0.500725049
56.1,-77.60706227,-2.940176557
56.2,99.7707015,1.494267537
56.3,-63.66732896,-2.591683224
56.4,-18.44179583,-1.461044896
56.5,90.17948164,1.254487041
56.6,-85.02677197,-3.125669299
56.7,-4.745163945,-1.118629099
56.8,92.23817542,1.305954385
56.9,-70.17776541,-2.754444135
57,-45.67874343,-2.141968586
57.1,97.61969324,1.440492331
57.2,2.563258833,-0.935918529
57.3,-99.45361162,-3.486340291
57.4,17.11862965,-0.572034259
57.5,98.44265681,1.46106642
57.6,-11.83485105,-1.295871276
57.7,-99.99975124,-3.499993781
57.8,-18.47884702,-1.461971175
57.9,90.80247643,1.270061911
58,67.53328081,0.68833202
58.1,-44.16593154,-2.104148289
58.2,-99.97413407,-3.499353352
58.3,-45.70948224,-2.142737056
58.4,51.05549237,0.276387309
58.5,99.62023001,1.49050575
58.6,69.82553807,0.745638452
58.7,-4.927163085,-1.123179077
58.8,-72.3439657,-2.808599143
58.9,-99.78678177,-3.494669544
59,-84.26404122,-3.10660103
59.1,-41.77751042,-2.04443776
59.2,7.733155885,-0.806671103
59.3,49.95192662,0.248798165
59.4,78.69867119,0.96746678
59.5,94.11465229,1.352866307
59.6,99.61776421,1.490444105
59.7,99.42706071,1.485676518
59.8,97.16020059,1.429005015
59.9,95.29698209,1.382424552
60,95.10565163,1.377641291
60.1,96.69934834,1.417483709
60.2,99.04441026,1.476110257
60.3,99.90453264,1.497613316
60.4,95.86649342,1.396662336
60.5,82.75217784,1.068804446
60.6,56.81999796,0.420499949
60.7,17.0350526,-0.574123685
60.8,-31.90387082,-1.797596771
60.9,-77.28908593,-2.932227148
61,-99.78245415,-3.494561354
61.1,-81.49032845,-3.037258211
61.2,-20.41406816,-1.510351704
61.3,56.80707132,0.420176783
61.4,99.55737827,1.488934457
61.5,66.65975228,0.666493807
61.6,-26.52061059,-1.663015265
61.7,-97.09666805,-3.427416701
61.8,-63.55824892,-2.588956223
61.9,47.73152029,0.193288007
62,98.45643345,1.461410836
62.1,8.287430206,-0.792814245
62.2,-96.13040195,-3.403260049
62.3,-40.08639615,-2.002159904
62.4,88.55817753,1.213954438
62.5,47.13967368,0.178491842
62.6,-90.64788378,-3.266197094
62.7,-31.28687497,-1.782171874
62.8,99.05305615,1.476326404
62.9,-10.53303541,-1.263325885
63,-91.65024219,-3.291256055
63.1,70.35212307,0.758803077
63.2,35.12403625,-0.121899094
63.3,-99.08428177,-3.477107044
63.4,63.84884615,0.596221154
63.5,25.55301282,-0.361174679
63.6,-91.1351557,-3.278378893
63.7,92.06125673,1.301531418
63.8,-39.58788987,-1.989697247
63.9,-28.86608493,-1.721652123
64,80.15669849,1.003917462
64.1,-99.77850125,-3.494462531
64.2,90.26213476,1.256553369
64.3,-62.64922684,-2.566230671
64.4,28.69459075,-0.282635231
64.5,3.219575993,-0.9195106
64.6,-28.85104527,-1.721276132
64.7,47.09533753,0.177383438
64.8,-58.5342645,-2.463356613
64.9,64.22767329,0.605691832
65,-64.94480483,-2.623620121
65.1,60.79552413,0.519888103
65.2,-51.18509586,-2.279627397
65.3,35.07991094,-0.123002226
65.4,-11.6476593,-1.291191482
65.5,-18.66097703,-1.466524426
65.6,52.68845932,0.317211483
65.7,-83.32282529,-3.083070632
65.8,99.56677619,1.489169405
65.9,-89.49795252,-3.237448813
66,47.07039322,0.17675983
66.1,18.98186327,-0.525453418
66.2,-80.44876102,-3.011219025
66.3,98.54797019,1.463699255
66.4,-50.62264389,-2.265566097
66.5,-39.06507978,-1.976626994
66.6,98.48053283,1.462013321
66.7,-63.47332105,-2.586833026
66.8,-41.94013819,-2.048503455
66.9,99.89783142,1.497445785
67,-27.59728826,-1.689932207
67.1,-85.68633196,-3.142158299
67.2,67.49620083,0.687405021
67.3,63.91410562,0.59785264
67.4,-81.40830845,-3.035207711
67.5,-57.17879602,-2.429469901
67.6,78.96926668,0.974231667
67.7,69.97605993,0.749401498
67.8,-57.97249583,-2.449312396
67.9,-92.93015508,-3.323253877
68,7.532680553,-0.811682986
68.1,95.8171858,1.395429645
68.2,65.8384741,0.645961853
68.3,-35.31515564,-1.882878891
68.4,-98.1429509,-3.453573772
68.5,-72.4111678,-2.810279195
68.6,8.146536619,-0.796336585
68.7,78.95577314,0.973894329
68.8,99.44868117,1.486217029
68.9,69.09101705,0.727275426
69,12.22157999,-0.6944605
69.1,-43.94030565,-2.098507641
69.2,-82.46714942,-3.061678735
69.3,-98.88818276,-3.472204569
69.4,-97.13636375,-3.428409094
69.5,-84.39068278,-3.109767069
69.6,-67.49620083,-2.687405021
69.7,-51.41970533,-2.285492633
69.8,-39.1258024,-1.97814506
69.9,-32.09138557,-1.802284639
70,-30.90169944,-1.772542486
70.1,-35.63825257,-1.890956314
70.2,-45.94682505,-2.148670626
70.3,-60.77057779,-2.519264445
70.4,-77.81466911,-2.945366728
70.5,-92.94870748,-3.323717687
70.6,-99.99061929,-3.499765482
70.7,-91.58603142,-3.289650786
70.8,-61.94392898,-2.548598225
70.9,-11.53844496,-1.288461124
71,47.89983026,0.197495757
71.1,92.3626862,1.309067155
71.2,94.02833743,1.350708436
71.3,40.77600165,0.019400041
71.4,-43.15694078,-2.078923519
71.5,-98.09382015,-3.452345504
71.6,-69.94238791,-2.748559698
71.7,27.63050211,-0.309237447
71.8,98.49794147,1.462448537
71.9,53.47919046,0.336979762
72,-62.76913613,-2.569228403
72.1,-91.57593781,-3.289398445
72.2,20.94274249,-0.476431438
72.3,99.74559843,1.493639961
72.4,0.552917489,-0.986177063
72.5,-99.98072405,-3.499518101
72.6,2.902423954,-0.927439401
72.7,99.01516166,1.475379041
72.8,-30.94950085,-1.773737521
72.9,-85.16702284,-3.129175571
73,75.21849371,0.880462343
73.1,34.93865767,-0.126533558
73.2,-99.76642928,-3.494160732
73.3,52.81389914,0.320347478
73.4,44.71472304,0.117868076
73.5,-98.87694267,-3.471923567
73.6,73.54730105,0.838682526
73.7,0.530926664,-0.986726833
73.8,-69.91543912,-2.747885978
73.9,99.59125073,1.489781268
74,-85.09944818,-3.127486204
74.1,42.34754111,0.058688528
74.2,8.046335702,-0.798841607
74.3,-51.03658215,-2.275914554
74.4,80.03632062,1.000908015
74.5,-95.12989243,-3.378247311
74.6,99.89134271,1.497283568
74.7,-98.76440703,-3.469110176
74.8,95.57560571,1.389390143
74.9,-92.97649205,-3.324412301
75,92.38795325,1.309698831
75.1,-94.08701267,-3.352175317
75.2,97.23405771,1.430851443
75.3,-99.80089349,-3.495022337
75.4,98.51956227,1.462989057
75.5,-89.13628126,-3.228407032
75.6,67.3848586,0.684621465
75.7,-31.04806654,-1.776201664
75.8,-16.99480743,-1.424870186
75.9,65.94009261,0.648502315
76,-97.16317329,-3.429079332
76.1,90.64390375,1.266097594
76.2,-38.68590347,-1.967147587
76.3,-39.22696891,-1.980674223
76.4,95.39643472,1.384910868
76.5,-81.31515578,-3.032878894
76.6,-3.907146483,-1.097678662
76.7,88.68479856,1.217119964
76.8,-80.57546603,-3.014386651
76.9,-23.7689283,-1.594223207
77,99.58527012,1.489631753
77.1,-35.1740355,-1.879350887
77.2,-84.45971548,-3.111492887
77.3,65.01405556,0.625351389
77.4,70.54164718,0.763541179
77.5,-72.08535967,-2.802133992
77.6,-72.51725037,-2.812931259
77.7,60.61577668,0.515394417
77.8,88.69205551,1.217301388
77.9,-24.38486037,-1.609621509
78,-99.87369566,-3.496842392
78.1,-39.82720446,-1.995680112
78.2,67.35699909,0.683924977
78.3,96.78840347,1.419710087
78.4,28.93525816,-0.276618546
78.5,-61.8476972,-2.54619243
78.6,-99.99794634,-3.499948658
78.7,-67.60507471,-2.690126868
78.8,2.965228759,-0.925869281
78.9,67.35003271,0.683750818
79,98.28710781,1.457177695
79.1,92.16885618,1.304221405
79.2,60.63326575,0.515831644
79.3,19.20389678,-0.51990258
79.4,-20.08180425,-1.502045106
79.5,-50.97172839,-2.27429321
79.6,-72.06576021,-2.801644005
79.7,-84.78279007,-3.119569752
79.8,-91.52917961,-3.28822949
79.9,-94.50733442,-3.362683361
80,-95.10565163,-3.377641291
80.1,-93.65608986,-3.341402247
80.2,-89.38977626,-3.234744406
80.3,-80.54754798,-3.0136887
80.4,-64.74391252,-2.618597813
80.5,-39.78685709,-1.994671427
80.6,-5.137383069,-1.128434577
80.7,36.0840126,-0.097899685
80.8,75.29297131,0.882324283
80.9,98.52117756,1.463029439
81,90.61602102,1.265400526
81.1,44.61634498,0.115408624
81.2,-26.85970467,-1.671492617
81.3,-87.67754413,-3.191938603
81.4,-93.65058299,-3.341264575
81.5,-28.57719957,-1.714429989
81.6,64.0903175,0.602257938
81.7,98.50498529,1.462624632
81.8,28.27298756,-0.293175311
81.9,-77.5277517,-2.938193793
82,-85.09944818,-3.127486204
82.1,27.77539658,-0.305615086
82.2,99.73542107,1.493385527
82.3,7.310242636,-0.817243934
